Annee;Voyageurs;Voyageurs-km;Tonnes;Tonnes-km
1843;7.3;0.185;1.49;0.054
1844;8.08;0.232;1.87;0.083
1848;11.8;0.432;2.83;0.234
1854;27.7;1.37;8.06;1.16
1866;86.2;3.4;28.8;5.78
1871;94.1;4.58;27.8;5.53
1875;127.0;4.76;40.8;8.03
1877;134.0;4.85;41.2;8.06
1878;148.0;5.75;41.7;8.26
1881;174.0;6.29;56.2;10.6
1884;206.0;6.85;53.1;10.2
1888;217.0;7.31;53.6;10.2
1841;6.33;0.112;1.01;0.037
1900;430.0;14.0;83.4;16.0
1849;14.7;0.554;3.28;0.308
1842;6.16;0.117;1.2;0.044
1905;429.0;14.1;91.0;17.4
1852;22.3;0.988;5.01;0.621
1845;8.8;0.246;2.21;0.102
1913;529.0;19.3;136.0;25.2
1857;41.0;1.99;13.1;2.15
1846;10.4;0.327;2.41;0.126
1915;209.0;8.8;71.5;16.5
1858;44.7;2.1;15.3;2.4
1847;12.7;0.426;3.49;0.248
1917;352.0;10.1;83.7;20.2
1859;51.7;2.7;17.0;2.76
1855;32.4;1.82;9.58;1.53
1932;705.0;25.6;161.0;31.9
1861;61.1;2.69;23.5;3.79
1862;64.2;2.85;22.3;3.86
1940;347.0;17.1;101.5;24.0
1867;100.0;4.3;29.3;5.81
1863;69.3;3.0;23.4;4.06
1944;433.0;15.0;41.9;9.55
1868;101.0;3.9;31.4;6.2
1864;74.4;3.16;24.9;4.6
1959;568.0;32.0;212.7;53.4
1870;100.0;4.26;27.2;5.06
1865;80.5;3.33;27.0;5.12
1961;576.0;33.6;229.7;58.8
1879;146.0;5.23;45.9;8.87
1869;109.0;4.1;32.7;6.22
1963;599.0;36.8;239.6;63.0
1887;211.0;7.18;50.8;9.67
1872;110.0;4.27;38.8;7.58
1969;607.0;39.1;230.43;64.46
1889;236.0;8.59;56.6;10.9
1882;89.0;6.73;58.9;10.7
1971;608.0;41.1;227.46;64.24
1891;248.0;8.24;63.1;11.8
1886;211.0;7.11;48.3;9.09
1974;642.3;47.31;252.76;73.98
1892;279.0;9.19;62.7;11.7
1893;308.0;9.95;63.5;11.9
1975;657.93;50.7;207.52;61.25
1897;364.0;11.4;71.6;13.4
1895;338.0;10.6;66.9;12.5
1979;688.45;53.73;212.95;67.58
1902;410.0;13.1;81.0;15.7
1896;352.0;11.1;68.8;12.9
1998;822.7;64.457947;138.9375;55.0925
1903;413.0;13.2;85.3;16.1
1899;390.0;12.3;79.5;15.4
2004;931.3578634;74.36160205;117.4154611;45.12120705
1911;494.0;17.5;121.0;22.7
1916;325.0;10.0;79.7;18.9
2011;1111.470595;89.00079617;62.61746488;23.24178215
1914;355.0;13.7;88.2;17.8
1921;661.0;25.7;137.0;26.0
1927;724.0;26.0;194.0;36.6
1928;745.0;27.0;208.0;39.2
1929;765.0;28.2;223.0;41.8
1930;790.0;29.2;224.0;40.9
1850;18.5;0.738;4.1;0.423
1936;577.0;23.3;148.0;29.5
1931;773.0;29.0;193.0;37.1
1851;19.6;0.797;4.34;0.488
1853;24.3;1.15;6.55;0.84
1937;614.0;27.0;157.0;31.8
1934;622.0;23.4;148.0;29.7
1876;133.0;4.94;42.3;8.21
1856;35.8;1.84;11.4;1.87
1939;481.0;20.5;140.3;29.3
1938;540.0;22.1;132.3;26.5
1880;160.0;5.84;53.4;10.2
1860;55.8;2.52;19.6;3.14
1952;543.0;28.6;173.7;44.0
1946;696.0;31.5;125.8;32.3
1883;201.0;7.01;59.1;10.9
1873;113.0;4.33;40.7;8.07
1976;655.08;51.08;215.23;65.54
1953;496.0;25.9;162.7;40.3
1885;209.0;7.0;49.4;9.48
1874;118.0;4.43;39.4;7.75
1981;697.82;55.84;186.97;61.44
1954;500.0;26.6;169.2;41.5
1894;326.0;10.3;65.2;12.1
1890;234.0;7.9;60.6;11.6
1990;842.55;63.961;142.4;51.53
1956;526.0;30.8;204.5;50.2
1904;420.0;13.6;85.5;16.2
1898;375.0;11.7;75.6;14.5
1991;836.95;62.301;141.18;51.48
1958;553.0;32.3;211.9;52.9
1906;445.0;14.7;95.1;18.2
1901;406.0;12.9;80.4;15.8
1994;806.0;58.928;129.298;49.7
1964;608.0;37.8;247.7;65.3
1907;459.0;15.2;102.0;19.3
1908;464.0;15.9;103.0;20.0
1995;740.8;55.563;125.4538;49.1697
1973;619.88;44.7;245.44;70.81
1909;476.0;16.2;107.0;20.8
1910;492.0;16.8;113.0;21.5
1997;807.2;61.8305;136.9289;54.8211
1977;673.46;51.99;202.9;63.31
1919;463.0;20.2;77.0;20.7
1912;509.0;18.1;131.0;24.2
2000;846.1866371;69.86661813;141.940943;55.448238
1984;755.64;60.39;167.81;57.46
1925;802.0;29.8;195.0;37.1
1918;377.0;11.9;64.7;20.1
2002;887.1883861;73.53417396;127.64;50.03583444
1985;776.92;62.07;161.66;55.78
1926;777.0;28.3;208.0;40.4
1920;500.0;22.1;103.0;25.9
2009;1075.33781;86.01740102;69.39447883;26.48232079
1988;810.0;63.29;144.88;52.29
1942;579.0;23.2;102.8;27.4
1922;720.0;27.3;157.0;28.6
2017;1257.976761;93.2654302;43.19984395;18.72614245
1993;823.0;58.603;121.397;45.9
1945;596.0;26.1;68.9;17.8
1923;767.0;29.3;174.0;33.3
2006;1001.715542;79.83450552;107.7073353;40.68126985
1947;649.0;31.1;140.5;37.0
1924;772.0;28.4;199.0;37.2
2007;1032.121228;81.81353731;105.7017851;40.63219664
1949;597.0;29.5;160.6;41.0
1933;661.0;24.7;153.0;31.0
2010;1075.987508;85.97349227;64.4302157;22.84014842
1955;509.0;27.8;191.4;46.8
1935;582.0;22.6;139.0;27.1
2012;1134.11832;88.62575929;54.39982318;21.05916528
1957;552.0;32.6;216.8;53.6
1941;454.0;17.1;111.5;28.4
2014;1140.689732;86.97981273;49.96431352;19.26645991
1960;570.0;32.0;226.7;56.9
1943;686.0;28.2;94.1;24.0
2019;1244.747489;94.33266475;36.2446293;16.73348843
1965;620.0;38.3;226.32;61.82
1948;645.0;30.6;157.9;41.2
1966;628.0;38.4;220.6;61.24
1950;546.0;26.4;151.7;38.9
1967;624.0;38.4;216.49;60.22
1951;549.0;28.1;176.7;45.4
1968;579.0;35.9;216.94;60.23
1962;579.0;35.8;230.9;61.2
1987;782.36;59.97;142.29;51.33
1970;613.0;41.0;238.0;67.58
1992;829.38;62.228;137.4;50.37
1972;626.0;43.2;233.72;65.65
1996;786.527;59.773;128.476;50.5
1978;684.04;53.68;202.89;64.35
2001;859.5059808;71.50415328;126.3;50.39629773
1980;685.82;54.66;209.11;66.37
2003;891.6948182;72.25991999;120.68;46.83525
1982;714.72;57.04;174.55;58.4
2008;1076.191643;86.64865267;93.98742229;35.93240921
1983;736.1;58.6;166.26;56.65
2013;1148.07232;87.88289336;50.7341157;19.49841035
1986;778.75;59.86;145.86;51.69
2016;1218.078971;87.27960756;44.09322322;18.08809142
1989;824.9;64.49;146.5;53.27
1999;849.9;66.587496;138.637119;54.350377
2005;963.502661;76.88626654;107.5316579;40.70118045
2015;1185.428558;87.81546777;50.32209027;19.85000144
2018;1225.536433;89.70580892;37.551377;17.38337392
